station_id,station_name,total_rides,avg_rides_daily,avg_weekday,avg_weekend
40010,Austin-Forest Park,184948.0,506.7068493150685,608.4448818897638,273.9009009009009
40020,Harlem-Lake,41825.0,836.5,,836.5
40030,Pulaski-Lake,234682.0,719.8834355828221,821.2837209302326,523.4774774774775
40040,Quincy/Wells,26774.0,811.3333333333334,,811.3333333333334
40050,Davis,40021.0,833.7708333333334,954.0,831.2127659574468
40060,Belmont-O'Hare,1201.0,63.21052631578947,,63.21052631578947
40070,Jackson/Dearborn,5234.0,872.3333333333334,,872.3333333333334
40080,Sheridan,4061.0,812.2,,812.2
40090,Damen-Brown,67980.0,723.1914893617021,851.4,707.9285714285714
40100,Morse,2539.0,846.3333333333334,,846.3333333333334
40120,35th/Archer,63823.0,742.1279069767442,818.0,741.2352941176471
40130,51st,156547.0,428.8958904109589,480.42913385826773,310.97297297297297
40140,Dempster-Skokie,174840.0,582.8,664.9489795918367,427.9807692307692
40150,Pulaski-Cermak,235152.0,644.2520547945205,733.6574803149606,439.6666666666667
40160,LaSalle/Van Buren,55524.0,447.7741935483871,773.3846153846154,409.63963963963965
40170,Ashland-Lake,43323.0,760.0526315789474,858.5,756.4727272727273
40180,Oak Park-Forest Park,152748.0,418.4876712328767,521.1377952755905,183.59459459459458
40190,Sox-35th-Dan Ryan,33641.0,800.9761904761905,906.0,798.4146341463414
40210,Damen-Cermak,139224.0,740.5531914893617,903.9871794871794,624.6636363636363
40220,Western-Forest Park,189359.0,518.7917808219178,595.0905511811023,344.1981981981982
40230,Cumberland,49568.0,774.5,972.0,771.3650793650794
40250,Kedzie-Homan-Forest Park,238085.0,652.2876712328767,737.8858267716536,456.4144144144144
40270,Main,179436.0,491.6054794520548,543.1889763779527,373.56756756756755
40280,Central-Lake,101900.0,733.0935251798561,916.5,686.8288288288288
40290,Ashland/63rd,164412.0,450.4438356164384,513.3188976377953,306.56756756756755
40300,Indiana,108256.0,296.5917808219178,341.5472440944882,193.72072072072072
40310,Western-Orange,27029.0,844.65625,,844.65625
40320,Division/Milwaukee,1515.0,378.75,,378.75
40340,Berwyn,0.0,0.0,0.0,0.0
40350,UIC-Halsted,45162.0,507.438202247191,146.33333333333334,640.7692307692307
40360,Southport,17521.0,796.4090909090909,685.0,801.7142857142857
40390,Forest Park,105525.0,672.1337579617834,931.3404255319149,561.3818181818182
40400,Noyes,156904.0,429.87397260273974,493.5275590551181,284.2162162162162
40420,Cicero-Cermak,257264.0,718.6145251396648,798.2388663967612,541.4324324324324
40430,Clinton-Forest Park,72536.0,545.3834586466165,176.52,630.7685185185185
40440,California-Cermak,176458.0,726.164609053498,884.7089552238806,531.256880733945
40460,Merchandise Mart,25767.0,780.8181818181819,,780.8181818181819
40470,Racine,110340.0,402.7007299270073,459.9878048780488,317.2909090909091
40480,Cicero-Lake,211977.0,580.758904109589,655.4645669291339,409.81081081081084
40490,Grand/Milwaukee,34140.0,742.1739130434783,901.3333333333334,731.0697674418604
40510,Garfield-South Elevated,198195.0,543.0,621.4015748031496,363.5945945945946
40520,Foster,136780.0,375.7692307692308,405.4624505928854,308.0900900900901
40530,Diversey,7484.0,748.4,,748.4
40550,Irving Park-O'Hare,22212.0,854.3076923076923,,854.3076923076923
40560,Jackson/State,3566.0,891.5,,891.5
40570,California/Milwaukee,3973.0,180.5909090909091,,180.5909090909091
40580,54th/Cermak,69891.0,720.5257731958762,859.3333333333334,716.0957446808511
40590,Damen/Milwaukee,1221.0,305.25,,305.25
40600,Kostner,86519.0,237.03835616438357,275.3976377952756,149.26126126126127
40610,Ridgeland,198119.0,545.7823691460055,670.8373015873016,261.8738738738739
40630,Clark/Division,810.0,810.0,,810.0
40650,North/Clybourn,1101.0,550.5,,550.5
40660,Armitage,16827.0,801.2857142857143,884.0,792.578947368421
40670,Western/Milwaukee,9988.0,832.3333333333334,,832.3333333333334
40680,Adams/Wabash,2331.0,777.0,,777.0
40690,Dempster,141099.0,386.57260273972605,410.2204724409449,332.4594594594595
40700,Laramie,204646.0,560.6739726027397,657.1220472440945,339.97297297297297
40710,Chicago/Franklin,3015.0,753.75,,753.75
40720,East 63rd-Cottage Grove,178932.0,490.2246575342466,545.6496062992126,363.39639639639637
40730,Washington/Wells,63180.0,694.2857142857143,,694.2857142857143
40740,Western-Cermak,251666.0,701.0194986072423,802.9598393574297,470.26363636363635
40750,Harlem-O'Hare,77716.0,681.719298245614,923.0,670.651376146789
40760,Granville,8900.0,809.0909090909091,,809.0909090909091
40770,Lawrence,0.0,0.0,0.0,0.0
40780,Central Park,217682.0,599.6749311294766,690.8616600790514,389.94545454545454
40790,Monroe/Dearborn,32297.0,807.425,,807.425
40800,Sedgwick,16417.0,820.85,846.5,818.0
40810,Medical Center,69196.0,576.6333333333333,845.7777777777778,554.8108108108108
40830,18th,87283.0,800.7614678899082,916.4324324324324,741.3194444444445
40840,South Boulevard,118005.0,323.3013698630137,376.45669291338584,201.66666666666666
40850,Library,21334.0,820.5384615384615,939.0,815.8
40870,Francisco,228668.0,714.5875,841.6985645933014,475.2522522522523
40880,Thorndale,37534.0,815.9565217391304,869.0,814.7777777777778
40910,63rd-Dan Ryan,99283.0,834.3109243697479,908.0,819.4242424242424
40920,Pulaski-Forest Park,224656.0,615.4958904109589,680.4251968503937,466.9189189189189
40940,Halsted/63rd,84125.0,230.4794520547945,267.1929133858268,146.46846846846847
40960,Pulaski-Orange,19815.0,861.5217391304348,,861.5217391304348
40970,Cicero-Forest Park,178399.0,488.76438356164385,556.9133858267717,332.8198198198198
40980,Harlem-Forest Park,117854.0,322.8876712328767,386.73622047244095,176.78378378378378
40990,69th,8523.0,947.0,,947.0
41010,Rockwell,198358.0,698.443661971831,828.8554913294797,495.18918918918916
41020,Logan Square,1681.0,88.47368421052632,,88.47368421052632
41030,Polk,60952.0,559.1926605504588,773.5,551.0285714285715
41040,Kedzie-Cermak,226880.0,626.7403314917127,709.4426877470356,434.7798165137615
41050,Linden,157021.0,432.56473829201104,480.6547619047619,323.3873873873874
41060,Ashland-Orange,102265.0,664.0584415584416,897.9302325581396,573.4594594594595
41070,Kedzie-Lake,227200.0,624.1758241758242,727.094861660079,389.5945945945946
41080,47th-South Elevated,171033.0,468.5835616438356,535.0748031496063,316.43243243243245
41090,Monroe/State,1308.0,654.0,,654.0
41120,35-Bronzeville-IIT,195339.0,712.9160583941606,820.9705882352941,536.2884615384615
41130,Halsted-Orange,69595.0,717.4742268041238,853.0,714.6210526315789
41140,King Drive,77755.0,213.02739726027397,242.0748031496063,146.55855855855856
41150,Kedzie-Midway,41427.0,828.54,,828.54
41160,Clinton-Lake,36532.0,794.1739130434783,,794.1739130434783
41170,Garfield-Dan Ryan,54947.0,808.0441176470588,,808.0441176470588
41180,Kedzie-Brown,85963.0,795.9537037037037,923.7142857142857,765.1149425287356
41190,Jarvis,234419.0,802.804794520548,868.0934065934066,694.7818181818182
41200,Argyle,615.0,615.0,,615.0
41210,Wellington,67678.0,690.5918367346939,795.375,681.2777777777778
41220,Fullerton,696.0,696.0,,696.0
41230,47th-Dan Ryan,72137.0,810.5280898876405,946.8333333333334,800.6746987951807
41240,Addison-O'Hare,66462.0,671.3333333333334,867.2,660.9148936170212
41250,Central-Evanston,133883.0,367.81043956043953,425.6456692913386,234.26363636363635
41260,Austin-Lake,171562.0,717.8326359832636,894.9140625,513.6306306306307
41270,43rd,159245.0,436.28767123287673,508.751968503937,270.4684684684685
41290,Kimball,2511.0,837.0,,837.0
41300,Loyola,1565.0,782.5,,782.5
41310,Paulina,58696.0,733.7,846.5714285714286,722.8767123287671
41320,Belmont-North Main,927.0,927.0,,927.0
41330,Montrose-O'Hare,89624.0,705.7007874015748,926.1176470588235,671.6363636363636
41340,LaSalle,73766.0,737.66,868.5555555555555,724.7142857142857
41350,Oak Park-Lake,216894.0,610.9690140845071,710.094262295082,393.07207207207205
41360,California-Lake,207270.0,567.8630136986301,678.9212598425197,313.72972972972974
41380,Bryn Mawr,14095.0,829.1176470588235,946.0,821.8125
41410,Chicago/Milwaukee,28743.0,756.3947368421053,,756.3947368421053
41420,Addison-North Main,538.0,538.0,,538.0
41430,87th,29438.0,892.060606060606,,892.060606060606
41440,Addison-Brown,111879.0,662.0059171597633,866.1525423728814,552.5090909090909
41460,Irving Park-Brown,64935.0,705.8152173913044,843.7272727272727,687.0864197530864
41480,Western-Brown,13774.0,860.875,,860.875
41490,Harrison,6460.0,807.5,843.0,802.4285714285714
41500,Montrose-Brown,69289.0,729.3578947368421,824.0,716.9642857142857
41510,Morgan-Lake,2134.0,711.3333333333334,,711.3333333333334
41670,Conservatory,191991.0,527.4478021978022,556.2755905511812,460.8818181818182
41680,Oakton-Skokie,133944.0,366.9698630136986,450.8070866141732,175.12612612612614
41690,Cermak-McCormick Place,162782.0,775.152380952381,838.8076923076923,671.7125
