"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","132,737,146","±140,273"
"    No vehicle available","11,310,673","±72,714"
"    1 vehicle available","44,094,691","±101,361"
"    2 vehicles available","48,156,355","±128,129"
"    3 vehicles available","19,125,439","±74,199"
"    4 or more vehicles available","10,049,988","±49,218"
"    1-person household:","38,315,363","±114,407"
"        No vehicle available","6,701,084","±58,243"
"        1 vehicle available","25,297,185","±106,046"
"        2 vehicles available","4,911,488","±36,564"
"        3 vehicles available","989,401","±14,820"
"        4 or more vehicles available","416,205","±11,972"
"    2-person household:","45,356,579","±143,250"
"        No vehicle available","2,486,923","±32,375"
"        1 vehicle available","10,929,419","±54,511"
"        2 vehicles available","23,937,450","±98,866"
"        3 vehicles available","5,975,651","±49,773"
"        4 or more vehicles available","2,027,136","±23,991"
"    3-person household:","20,247,073","±75,224"
"        No vehicle available","994,520","±23,069"
"        1 vehicle available","3,992,145","±41,124"
"        2 vehicles available","7,891,664","±52,756"
"        3 vehicles available","5,423,829","±42,445"
"        4 or more vehicles available","1,944,915","±22,131"
"    4-or-more-person household:","28,818,131","±93,147"
"        No vehicle available","1,128,146","±22,909"
"        1 vehicle available","3,875,942","±41,126"
"        2 vehicles available","11,415,753","±51,688"
"        3 vehicles available","6,736,558","±45,546"
"        4 or more vehicles available","5,661,732","±48,384"